id,en_sent,en_amr,cn_sent,cn_amr,fa_sent,fa_amr
511,For what the king fundamentally insisted upon was that his authority should be respected .,"(i / insist-01
  :ARG0 (k / king)
  :ARG1 (r / respect-01
          :ARG1 (a / authority
                  :poss k))
  :mod (f / fundamental))",因为 国王 所 要求 的 主要 是 保持 他 的 威严 受到 尊敬 。,"(x15 / causation
      :arg1(x1)  (x8 / 保持-01
            :arg1()  (x11 / 威严
                  :poss(x10)  (x9 / x2))
            :arg2()  (x12 / 受到-01
                  :arg0()  (x11 / 威严)
                  :arg1()  (x13 / 尊敬-01
                        :arg1()  (x11 / 威严)))
            :domain(x7)  (x22 / thing
                  :arg1-of(x3_x5)  (x4 / 要求-01
                        :arg0()  (x2 / 国王)))
            :mod()  (x6 / 主要)))",چون پادشاه اساسا مقيد بود به اينکه فرمانش اجرا شود.,"(x / مقیدبودن
      :ARG0 (x2 / پادشاه)
      :ARG1 (x3 / اجراکردن
            :ARG1 (x4 / فرمان
                  :poss x2))
      :mod (x5 / اساسا))"
512,He tolerated no disobedience .,"(t / tolerate-01
  :ARG0 (h / he)
  :ARG1 (d / disobey-01
          :ARG1 h)
  :polarity -)",他 不 能 容忍 不 听 他 的 命令 。,"(x3 / 能-01
      :arg0()  (x4 / 容忍-01
            :arg0()  (x1 / 他)
            :arg1()  (x6 / 听-01
                  :polarity()  (x5 / -)
                  :arg1()  (x9 / 命令-01
                        :arg0(x8)  (x7 / x1))))
      :polarity()  (x2 / -))",او نافرمانی را بر کسی نمی‌بخشود.,"(x / بخشودن :polarity -
      :ARG0 (x2 / او)
      :ARG1 (x3 / نافرمانی)
      :ARG2 (x4 / کسی))"
513,He was an absolute monarch .,"(m / monarch
      :mod (a / absolute)
      :domain (h2 / he))",他 是 一 位 绝对 的 君主 。,"(x7 / 君主
      :mod(x6)  (x5 / 绝对)
      :quant()  (x3 / 1)
      :cunit()  (x4 / 位)
      :domain(x2)  (x1 / 他))",سلطان مستبدی بود,"(x / مستبد
      :domain (x2 / سلطان))"
514,"But , because he was a very good man , he made his orders reasonable .","(h3 / have-concession-91
      :ARG1 (m / make-02
            :ARG0 (h / he)
            :ARG1 (r / reasonable-02
                  :ARG1 (t / thing
                        :ARG2-of (o / order-01)))
            :ARG1-of (c2 / cause-01
                  :ARG0 (m2 / man
                        :ARG1-of (g / good-02
                              :degree (v / very))
                        :domain (h2 / he)))))",可是 ， 他 却 很 善良 ， 他 下 的 命令 都 是 有 理智 的 。,"(x18 / contrast
      :arg2(x1_x4)  (x20 / and
            :op1()  (x6 / 善良-01
                  :degree()  (x5 / 很)
                  :arg0()  (x3 / 他))
            :op2()  (x15 / 理智-01
                  :arg1-of()  (x14 / 有)
                  :arg0()  (x11 / 命令
                        :arg1-of(x10)  (x9 / 下-07
                              :arg0()  (x8 / x3)))
                  :mod()  (x12 / 都)
                  :mode()  (x13_x16 / judgement))))",ولی چون بسيار خوب بود فرمانهای عاقلانه می‌داد.,"(c / contrast-01
      :op2 (x4 / دادن
            :ARG0 (x2 / او)
            :ARG1 (x5 / فرمان
                  :mod (x6 / عاقلانه))
            :ARG1-of (c2 / cause-01
                  :ARG0 (x / خوب
                        :degree (x3 / بسیار)
                        :domain x2))))"
515,""" If I ordered a general , "" he would say , by way of example , "" if I ordered a general to change himself into a sea bird , and if the general did not obey me , that would not be the fault of the general .","(s / say-01
      :ARG0 (h / he)
      :ARG1 (o / order-01
            :ARG0 h
            :ARG1 (p / person
                  :ARG0-of (h2 / have-org-role-91
                        :ARG2 (g / general)))
            :ARG2 (c / change-01
                  :ARG0 p
                  :ARG1 p
                  :ARG2 (b / bird
                        :mod (s2 / sea)))
            :ARG1-of (o2 / obey-01 :polarity -
                  :ARG0 p)
            :condition-of (f / fault-01 :polarity -
                  :ARG1 p))
      :ARG0-of (e / exemplify-01))",他 常常 说 ： “ 如果 我 叫 一 位 将军 变成 一 只 海鸟 ， 而 这 位 将军 不 服从 我 的 命令 ， 那么 这 就 不 是 将军 的 过错 ，,"(x3 / 说-01
      :arg0()  (x1 / 他)
      :frequency()  (x2 / 常常)
      :arg1()  (x40 / condition
            :arg1(x6)  (x50 / contrast
                  :arg1()  (x8 / 叫-02
                        :arg0()  (x7 / x1)
                        :arg1()  (x12 / 变成-01
                              :arg0()  (x11 / 将军
                                    :quant()  (x9 / 1)
                                    :cunit()  (x10 / 位))
                              :arg1()  (x15 / 海鸟
                                    :quant()  (x13 / 1))))
                  :arg2(x17)  (x22 / 服从-01
                        :arg0()  (x20 / 将军
                              :cunit()  (x19 / 位)
                              :mod()  (x18 / 这))
                        :polarity()  (x21 / -)
                        :arg1()  (x25 / 命令-01
                              :arg0(x24)  (x23 / x1))))
            :arg2(x27)  (x34 / 过错
                  :poss(x33)  (x32 / 将军)
                  :mod()  (x29 / 就)
                  :domain(x31)  (x28 / x22)
                  :polarity()  (x30 / -))))",مثلا می‌گفت: اگر من به يکی از سرداران فرمان بدهم که پرنده دريايی شود و او اطاعت نکند، گناه از او نيست,"(x / گفتن
      :ARG0 (x7 / او)
      :ARG1 (x3 / داشتن :polarity -
            :ARG0 (x2 / سردار)
            :ARG1 (x4 / گناه)
            :condition (x5 / فرمان‌دادن
                  :ARG0 x7
                  :ARG1 (x6 / یک
                        :ARG1-of (i2 / include-91
                              :ARG2 (x8 / سردار)))
                  :ARG2 (x9 / شدن
                        :ARG1 x6
                        :ARG2 (x10 / پرنده
                              :mod (x11 / دریایی))
                        :condition (x12 / اطاعت‌کردن :polarity -
                              :ARG0 x6)))))"
516,"It would be my fault . ""","(f / fault-01
      :ARG1 (i2 / i))",而 是 我 的 过错 。 ”,"(x8 / say
      :arg1()  (x10 / contrast
            :arg2(x1)  (x5 / 过错
                  :poss(x4)  (x3 / 我)
                  :domain(x2)  (x13 / thing))))",بلکه از من است.,"(x / داشتن
      :ARG0 (x2 / من))"
517,""" May I sit down ? "" came now a timid inquiry from the little prince .","(i / inquire-01
      :ARG0 (p / prince
            :mod (l / little))
      :ARG1 (p2 / permit-01 :mode interrogative
            :ARG1 (s / sit-down-02
                  :ARG1 p))
      :manner (t / timid)
      :time (n / now))",小 王子 腼腆 地 试探 道 ： “ 我 可以 坐下 吗 ？ ”,"(x5_x6 / 试探-01
      :arg0()  (x2 / 王子
            :mod()  (x1 / 小))
      :manner(x4)  (x3 / 腼腆)
      :arg1()  (x10 / 可以-02
            :arg0()  (x11 / 坐下-01
                  :arg0()  (x9 / x2))
            :mode()  (x12_x13 / interrogative)))",شازده کوچولو با شرم و ادب پرسيد: اجازه هست بنشينم؟,"(x / پرسیدن
      :ARG0 (x2 / شازده
            :mod (x3 / کوچولو))
      :ARG1 (x7 / اجازه‌داشتن
            :ARG0 x2
            :ARG1 (x8 / نشستن
                  :ARG0 x2)
            :polarity (a2 / amr-unknown))
      :manner (x4 / و
            :op1 (x5 / شرم)
            :op2 (x6 / ادب)))"
518,""" I order you to do so , "" the king answered him , and majestically gathered in a fold of his ermine mantle .","(a / and
      :op1 (a2 / answer-01
            :ARG0 (k / king)
            :ARG1 (h / he)
            :ARG2 (o / order-01
                  :ARG0 k
                  :ARG1 h
                  :ARG2 (d / do-02
                        :ARG1 (s / so))))
      :op2 (g / gather-01
            :ARG0 k
            :ARG1 (f / fold
                  :part-of (m3 / mantle
                        :consist-of (e2 / ermine)))
            :manner (m / majesty)))",“ 我 命令 你 坐下 。 ” 国王 一边 回答 ， 一边 庄重 地 把 他 那 白 底 黑 花 皮袍 大襟 挪动 了 一下 。,"(x28 / and
      :op1(x9)  (x10 / 回答-01
            :arg0()  (x8 / 国王)
            :arg2()  (x3 / 命令-01
                  :arg0()  (x2 / x8)
                  :arg1()  (x4 / 你)
                  :arg2()  (x5 / 坐下-01
                        :arg0()  (x4 / 你))))
      :op2(x12)  (x24 / 挪动-01
            :arg0()  (x8 / 国王)
            :arg1(x15)  (x23 / 大襟
                  :mod()  (x22 / 皮袍)
                  :mod()  (x18_x19_x20_x21 / 白底黑花)
                  :mod()  (x17 / 那)
                  :poss()  (x16 / x8))
            :manner(x14)  (x13 / 庄重)
            :aspect()  (x25 / 了)
            :degree()  (x26 / 一下)))",پادشاه با جلال و جبروت، چينی از قبای قاقم خود را جمع کرد و فرمود: من به تو فرمان می‌دهم که بنشينی!,"(x / و
      :op1 (x2 / جمع‌کردن
            :ARG0 (x3 / پادشاه)
            :ARG1 (x4 / چین
                  :part-of (x5 / قبا
                        :consist-of (x6 / قاقم)
                        :poss x3))
            :manner (x11 / و
                  :op1 (x12 / جلال)
                  :op2 (x13 / جبروت)))
      :op2 (x7 / فرمودن
            :ARG0 x3
            :ARG1 (x8 / فرمان‌دادن
                  :ARG0 x3
                  :ARG1 (x9 / تو)
                  :ARG2 (x10 / نشستن
                        :ARG0 x9))))"
519,But the little prince was wondering ...,"(w / wonder-01
  :ARG0 (p / prince
          :mod (l / little)))",可是 小 王子 感到 很 奇怪 。,"(x8 / contrast
      :arg2(x1)  (x4 / 感到-01
            :arg0()  (x3 / 王子
                  :mod()  (x2 / 小))
            :arg1()  (x6 / 奇怪
                  :degree()  (x5 / 很))))",ولی شازده کوچولو تعجب می‌کرد.,"(c / contrast-01
      :ARG2 (x / تعجب‌کردن
            :ARG0 (x2 / شازده
                  :mod (x3 / کوچولو))))"
520,The planet was tiny .,"(t / tiny
  :domain (p / planet))",这么 小 的 行星 ，,"(x4 / 行星
      :mod(x3)  (x2 / 小)
      :degree()  (x1 / 这么))",سياره بسيار کوچک بود.,"(x / کوچک
      :degree (x2 / بسیار)
      :domain (x3 / سیاره))"
521,Over what could this king really rule ?,"(p / possible-01
      :ARG1 (r / rule-03
            :ARG0 (k / king)
            :ARG1 (a / amr-unknown)
            :ARG1-of (r2 / real-04)))",国王 他 对 什么 进行 统治 呢 ？,"(x5 / 进行-01
      :arg0()  (x1 / 国王)
      :arg1()  (x6 / 统治-01
            :arg1(x3)  (x4 / amr-unknown)
            :arg0()  (x2 / x1))
      :mode()  (x7_x8 / interrogative))",پس پادشاه بر چه چيز سلطنت می‌کرد.,"(x / سلطنت‌کردن
      :ARG0 (x2 / پادشاه)
      :ARG1 (a / amr-unknown))"
522,""" Sire , "" he said to him , "" I beg that you will excuse my asking you a question - - ""","(s / say-01
      :ARG0 (h / he)
      :ARG1 (b / beg-01
            :ARG0 h
            :ARG1 p
            :ARG2 (e / excuse-01
                  :ARG0 p
                  :ARG1 h
                  :ARG2 (a / ask-01
                        :ARG0 h
                        :ARG2 p)))
      :ARG2 (p / person
            :ARG1-of (t / title-01
                  :ARG2 (s2 / sire))))",他 对 国王 说 ： “ 陛下 … 请 原谅 ， 我 想 问 您 … ”,"(x4 / 说-01
      :arg0()  (x1 / 他)
      :arg3(x2)  (x3 / 国王)
      :arg1()  (x9 / 请-02
            :arg1()  (x7 / x3)
            :arg2()  (x10 / 原谅-01
                  :arg1()  (x13 / 想-02
                        :arg0()  (x12 / x1)
                        :arg1()  (x14 / 问-01
                              :arg2()  (x15 / x3)
                              :arg0()  (x12 / x1))))))",به او گفت: اعليحضرتا... عذر می‌خواهم از اينکه از شما سوال می‌کنم...,"(x / گفتن
      :ARG0 (x2 / او)
      :ARG1 (x3 / عذرخواهی‌کردن
            :ARG0 x2
            :ARG1 (x4 / سوال‌کردن
                  :ARG0 x2
                  :ARG1 (x5 / شما)))
      :ARG2 (x6 / اعلیحضرتا))"
523,""" I order you to ask me a question , "" the king hastened to assure him .","(h / hasten-01
      :ARG0 (k / king)
      :ARG1 (a / assure-01
            :ARG0 k
            :ARG1 (h2 / he)
            :ARG2 (o / order-01
                  :ARG0 k
                  :ARG1 h2
                  :ARG2 (a2 / ask-01
                        :ARG0 h2
                        :ARG2 k))))",国王 急忙 抢 着 说道 ： “ 我 命令 你 问 我 。 ”,"(x5 / 说道-01
      :arg0()  (x1 / 国王)
      :manner()  (x2 / 急忙)
      :manner()  (x3 / 抢-03
            :aspect()  (x4 / 着))
      :arg1()  (x9 / 命令-01
            :arg0()  (x8 / x1)
            :arg1()  (x10 / 你)
            :arg2()  (x11 / 问-01
                  :arg2()  (x12 / x1))))",پادشاه به شتاب گفت: من به تو فرمان می‌دهم که از من سوال کنی!,"(x / گفتن
      :ARG0 (x2 / پادشاه)
      :ARG1 (x4 / فرمان‌دادن
            :ARG0 x2
            :ARG1 (x5 / تو)
            :ARG2 (x6 / سوال‌کردن
                  :ARG0 x5
                  :ARG1 x2))
      :manner (x3 / شتابان))"
524,""" Sire - - over what do you rule ? ""","(s / say-01
      :ARG1 (r / rule-03
            :ARG0 p
            :ARG1 (a / amr-unknown))
      :ARG2 (p / person
            :ARG1-of (t / title-01
                  :ARG2 (s2 / sire))))",“ 陛下 … 你 统治 什么 呢 ？ ”,"(x10 / say
      :arg1()  (x5 / 统治
            :arg0()  (x4 / 你
                  :arg0-of()  (x14 / mean
                        :arg1()  (x2 / 陛下)))
            :arg1()  (x6 / amr-unknown)
            :mode()  (x7_x8 / interrogative)))",- اعليحضرتا!... شما بر چه چيز سلطنت می‌کنيد؟,"(x / و
      :op1 (x2 / اعلیحضرتا)
      :op2 (x3 / سلطنت‌کردن
            :ARG0 x2
            :ARG1 (a / amr-unknown)))"
525,""" Over everything , "" said the king , with magnificent simplicity .","(s / say-01
      :ARG0 (k / king)
      :ARG1 (e / everything)
      :ARG1-of (s2 / simple-02
            :mod (m / magnificence)))",国王 非常 简单 明了 地 说 ： “ 我 统治 一切 。 ”,"(x6 / 说-01
      :arg0()  (x1 / 国王)
      :manner(x5)  (x19 / and
            :op1()  (x3 / 简单)
            :op2()  (x4 / 明了)
            :degree()  (x2 / 非常))
      :arg1()  (x10 / 统治-01
            :arg0()  (x9 / x1)
            :arg1()  (x11 / 一切)))",پادشاه به سادگی تمام جواب داد: بر همه چيز.,"(x / جواب‌دادن
      :ARG0 (x2 / پادشاه)
      :ARG1 (x3 / بر
            :op1 (x4 / چیز
                  :mod (x7 / همه)))
      :manner (x5 / سادگی
            :mod (x6 / تمام)))"
526,""" Over everything ? ""","(o / over :mode interrogative
      :op1 (e / everything))",“ 一切 ？ ”,"(x5 / say
      :arg1()  (x2 / 一切
            :mode()  (x3 / interrogative)))",- بر همه چيز؟,"(x / بر
      :op1 (x2 / چیز
            :mod (x3 / همه))
      :polarity (a / amr-unknown))"
527,"The king made a gesture , which took in his planet , the other planets , and all the stars .","(g / gesture-01
      :ARG0 (k / king)
      :ARG0-of (t / take-in-23
            :ARG1 (a / and
                  :op1 (p / planet
                        :poss k)
                  :op2 (p2 / planet
                        :mod (o / other))
                  :op3 (s / star
                        :mod (a2 / all)))))",国王 轻轻 地 用 手 指 着 他 的 行星 和 其他 的 行星 ， 以及 所有 的 星星 。,"(x6 / 指-01
      :arg0()  (x1 / 国王)
      :aspect()  (x7 / 着)
      :arg2()  (x24 / and
            :op1()  (x10 / 行星
                  :poss(x9)  (x8 / x1))
            :op2(x11)  (x14 / 行星
                  :mod(x13)  (x12 / 其他))
            :op3(x16)  (x19 / 星星
                  :mod(x18)  (x17 / 所有)))
      :arg1(x4)  (x5 / 手)
      :manner(x3)  (x2 / 轻轻))",پادشاه با يک حرکت شاهانه سياره خود و سيارات ديگر و ستارگان را نشان داد.,"(x / نشان‌دادن
      :ARG0 (x2 / پادشاه)
      :ARG1 (x3 / و
            :op1 (x4 / سیاره
                  :poss x2)
            :op2 (x5 / سیاره
                  :mod (x6 / دیگر))
            :op3 (x7 / ستاره))
      :manner (x8 / حرکت‌دادن
            :ARG0 x2
            :mod (x9 / شاهانه)))"
528,""" Over all that ? "" asked the little prince .","(a / ask-01 :mode interrogative
      :ARG0 (p / prince
            :mod (l / little))
      :ARG1 (o / over
            :op1 (t / that
                  :mod (a3 / all))))",小 王子 说 ： “ 统治 这 一切 ？ ”,"(x3 / 说-01
      :arg0()  (x2 / 王子
            :mod()  (x1 / 小))
      :arg1()  (x6 / 统治-01
            :arg1()  (x8 / 一切
                  :mod()  (x7 / 这))
            :mode()  (x9 / interrogative)))",شازده کوچولو گفت: يعنی بر همه اينها؟,"(x / گفتن
      :ARG0 (x2 / شازده
            :mod (x3 / کوچولو))
      :ARG1 (x4 / بر
            :op1 (x5 / آنها
                  :mod (x6 / همه))
            :polarity (a / amr-unknown)))"
529,""" Over all that , "" the king answered .","(a / answer-01
  :ARG0 (k / king)
  :ARG2 (o / over
          :op1 (t / that
                 :mod (a2 / all))))",“ 统治 这 一切 。 ”,"(x7 / say
      :arg1()  (x2 / 统治-01
            :arg1()  (x4 / 一切
                  :mod()  (x3 / 这))))",پادشاه جواب داد: بلی، بر همه اينها.,"(x / جواب‌دادن
      :ARG0 (x2 / پادشاه)
      :ARG1 (x3 / و
            :op1 (x4 / بلی)
            :op2 (x5 / بر
                  :op1 (x6 / این
                        :mod (x7 / همه)))))"
530,For his rule was not only absolute : it was also universal .,"(a3 / and
      :op1 (a4 / absolute
            :domain (r / rule-03
                  :ARG0 (h / he)))
      :op2 (u2 / universal
            :domain r))",原来 他 不仅 是 一 个 绝对 的 君主 ， 而且 是 整个 宇宙 的 君主 。,"(x18 / progression
      :arg1(x3)  (x9 / 君主
            :mod(x8)  (x7 / 绝对)
            :quant()  (x5 / 1)
            :cunit()  (x6 / 个)
            :domain(x4)  (x2 / 他))
      :arg2(x11)  (x16 / 君主
            :domain(x12)  (x2 / 他)
            :mod(x15)  (x14 / 宇宙
                  :mod()  (x13 / 整个)))
      :mod()  (x1 / 原来))",چون او نه تنها سلطان مطلق،‌ بلکه سلطان سلاطين بود.,"(x / و
      :op1 (x2 / سلطان
            :mod (x3 / مطلق))
      :op2 (x4 / سلطان
            :mod (x5 / سلاطین))
      :domain (x6 / او))"
531,""" And the stars obey you ? ""","(o / obey-01
  :ARG0 (s / star)
  :ARG1 (y / you)
  :mode interrogative)",“ 那么 ， 星星 都 服从 您 吗 ？ ”,"(x11 / say
      :arg1()  (x13 / causation
            :arg2(x2)  (x6 / 服从-01
                  :arg0()  (x4 / 星星)
                  :mod()  (x5 / 都)
                  :arg1()  (x7 / 您)
                  :mode()  (x8_x9 / interrogative))))",و ستارگان همه از شما فرمان می‌برند؟,"(x / فرمان‌بردن
      :ARG0 (x2 / ستاره
            :mod (x3 / همه))
      :ARG1 (x4 / شما)
      :polarity (a / amr-unknown))"
532,""" Certainly they do , "" the king said .","(s / say-01
  :ARG0 (k / king)
  :ARG1 (d / do-02
          :ARG0 (t / they)
          :mod (c / certain)))",“ 那 当然 ！ ” 国王 对 他 说 ，,"(x9 / 说-01
      :arg0()  (x6 / 国王)
      :arg3(x7)  (x8 / 他)
      :arg1()  (x3 / 当然
            :mod()  (x2 / 那)
            :mode()  (x4 / expressive)))",پادشاه گفت: البته که می‌کنند!,"(x / گفتن
      :ARG0 (x2 / پادشاه)
      :ARG1 (x3 / انجام‌دادن
            :ARG0 (x5 / آنها)
            :mod (x4 / قطعا)))"
533,""" They obey instantly .","(o / obey-01
  :ARG0 (t / they)
  :manner (i / instant))",“ 它们 立即 就 得 服从 。,"(x8 / say
      :arg1()  (x5 / 得
            :arg0()  (x6 / 服从-01
                  :arg0()  (x2 / 它们)
                  :time()  (x3 / 立即))
            :mod()  (x4 / 就)))",همه بيدرنگ اطاعت می‌کنند.,"(x / اطاعت‌کردن
      :ARG0 (x5 / همه)
      :manner (x2 / بی‌درنگ))"
534,"I do not permit insubordination . ""","(p / permit-01 :polarity -
      :ARG0 (i / i)
      :ARG1 (i2 / insubordinate-00))",我 是 不 允许 无 纪律 的 。 ”,"(x10 / say
      :arg1()  (x4 / 允许-01
            :arg0()  (x1 / 我)
            :polarity()  (x3 / -)
            :arg1()  (x5 / 无-02
                  :arg1()  (x6 / 纪律))
            :mode()  (x2_x7 / judgement)))",من بی‌انضباطی را بر کسی نمی‌بخشايم.,"(x / بخشودن :polarity -
      :ARG0 (x2 / من)
      :ARG1 (x3 / بی‌انضباطی)
      :ARG2 (x4 / کس))"
535,Such power was a thing for the little prince to marvel at .,"(m / marvel-01
      :ARG0 (p / prince
            :mod (l / little))
      :ARG1 (p2 / power
            :degree (s / such)))",这样 的 权力 使 小 王子 惊叹 不已 。,"(x7_x8 / 惊叹不已
      :arg0()  (x6 / 王子
            :mod()  (x5 / 小))
      :cause(x4)  (x3 / 权力
            :mod(x2)  (x1 / 这样)))",چنين اقتداری شازده کوچولو را به شگفتی واداشت.,"(x / واداشتن
      :ARG0 (x2 / اقتدار
            :mod (x3 / چنین))
      :ARG1 (x4 / شازده
            :mod (x5 / کوچولو))
      :ARG2 (x6 / شگفتی))"
536,"If he had been master of such complete authority , he would have been able to watch the sunset , not forty - four times in one day , but seventy - two , or even a hundred , or even two hundred times , without ever having to move his chair .","(p / possible-01
      :ARG1 (w / watch-01
            :ARG0 (h / he)
            :ARG1 (s / sunset
                  :ARG1-of (h3 / have-frequency-91 :polarity -
                        :ARG2 44
                        :range (t5 / temporal-quantity :quant 1
                              :unit (y / year)))
                  :ARG1-of (h4 / have-frequency-91
                        :ARG2 (o / or :op1 72 :op2 100 :op3 200)
                        :range t5))
            :manner (m2 / move-01 :polarity -
                  :ARG0 h
                  :ARG1 (c2 / chair
                        :poss h)
                  :time (e3 / ever)))
      :condition (m / master
            :domain (h2 / he)
            :poss-of (a / authority
                  :ARG1-of (c / complete-02)
                  :mod (s2 / such))))",如果 掌握 了 这样 的 权力 ， 那么 ， 他 一 天 就 不 只 是 看到 四十三 次 日落 ， 而 可以 看到 七十二 次 ， 甚至 一百 次 ， 或是 二百 次 日落 ， 也 不 必 要 去 挪动 椅子 了 ！,"(x46 / condition
      :arg1(x1)  (x2 / 掌握-01
            :aspect()  (x3 / 了)
            :arg1()  (x6 / 权力
                  :mod(x5)  (x4 / 这样)))
      :arg2(x8_x13)  (x52 / and
            :op1()  (x53 / contrast
                  :arg1()  (x17 / 看到-01
                        :arg0()  (x10 / 他)
                        :arg1()  (x20 / 日落
                              :arg1-of()  (x57 / have-frequency-91
                                    :arg2()  (x18 / 43))
                              :range()  (x59 / temporal-quantity
                                    :quant()  (x11 / 1)
                                    :unit()  (x12 / 天)))
                        :polarity()  (x14 / -)
                        :mod()  (x15_x16 / 只是))
                  :arg2(x22)  (x23 / 可以-01
                        :arg0()  (x24 / 看到-01
                              :arg1()  (x35 / 日落
                                    :arg1-of()  (x76 / have-frequency-91
                                          :arg2()  (x32 / or
                                                :op1()  (x25_x26 / 25)
                                                :op2()  (x29_x30 / 100)
                                                :op3()  (x33_x34 / 200)))))))
            :op2(x37)  (x39_x40 / 必要-01
                  :polarity()  (x38 / -)
                  :arg0(x41)  (x42 / 挪动-01
                        :arg1()  (x43 / 椅子)
                        :arg0()  (x10 / 他))
                  :smood()  (x44 / 了)
                  :mode()  (x45 / expressive))))",اگر خود او صاحب چنين قدرتی می‌بود، نه تنها چهل‌وچهار بار، بلکه هفتادودو و شايد صد و حتی دويست‌بار در روز غروب خورشيد را تماشا می‌کرد، بی‌آنکه هرگز مجبور باشد صندليش را جا‌به‌جا کند.,"(x / تماشاکردن
      :ARG0 (x2 / او)
      :ARG1 (x3 / غروب‌کردن
            :ARG1 (x4 / خورشید))
      :manner (x5 / جابه‌جاکردن :polarity -
            :ARG0 x2
            :ARG1 (x6 / صندلی
                  :poss x2)
            :time (x7 / هرگز))
      :condition (x8 / داشتن
            :ARG0 x2
            :ARG1 (x9 / قدرت
                  :mod (x10 / چنین)))
      :frequency (r / rate-entity-91
            :ARG1 (x12 / و :op1 44 :op2 72 :op3 100 :op4 200)
            :ARG2 (t / temporal-quantity :quant 1
                  :unit (x11 / روز))))"
537,"And because he felt a bit sad as he remembered his little planet which he had forsaken , he plucked up his courage to ask the king a favor : "" I should like to see a sunset ... do me that kindness ...","(p / pluck-01
      :ARG0 (h / he)
      :ARG1 (c / courage
            :poss h)
      :mod (u / up)
      :ARG1-of (c2 / cause-01
            :ARG0 (f / feel-01
                  :ARG0 h
                  :ARG1 (s3 / sad-02
                        :ARG1 h
                        :degree (b / bit))
                  :ARG1-of (c3 / cause-01
                        :ARG0 (r / remember-01
                              :ARG0 h
                              :ARG1 (p2 / planet
                                    :poss h
                                    :mod (l2 / little)
                                    :ARG1-of (f2 / forsake-01
                                          :ARG0 h))))))
      :ARG0-of (c4 / cause-01
            :ARG1 (a / ask-02
                  :ARG0 h
                  :ARG1 (a2 / and
                        :op1 (l / like-02
                              :ARG0 (i / i)
                              :ARG1 (s / see-01
                                    :ARG0 i
                                    :ARG1 (s2 / sunset)))
                        :op2 (d / do-02 :mode imperative
                              :ARG0 k
                              :ARG1 (t / thing
                                    :ARG1-of (k2 / kind-01
                                          :ARG0 k
                                          :ARG2 h))
                              :ARG2 h))
                  :ARG2 (k / king))))",由于 他 想起 了 他 那 被 遗弃 的 小 星球 ， 心里 有点 难过 ， 他 大胆 地 向 国王 提出 了 一 个 请求 ： “ 我 想 看 日落 ， 请求 您 …,"(x37 / causation
      :arg1(x1)  (x3 / 想起-01
            :arg0()  (x2 / 他)
            :aspect()  (x4 / 了)
            :arg1()  (x11 / 星球
                  :mod()  (x10 / 小)
                  :arg1-of(x9)  (x8 / 遗弃-01
                        :arg0(x7)  (x45 / person))
                  :poss()  (x5 / x2)
                  :mod()  (x6 / 那))
            :arg2()  (x48 / and
                  :op1()  (x15 / 难过-01
                        :arg0()  (x13 / 心里)
                        :degree()  (x14 / 有点))
                  :op2()  (x22 / 提出-01
                        :arg0()  (x17 / x2)
                        :manner()  (x54 / (x19))
                        :arg1()  (x26 / 请求-01
                              :cunit()  (x25 / 个)
                              :arg1(x20)  (x21 / 国王)
                              :arg2()  (x61 / and
                                    :op1()  (x30 / 想-02
                                          :arg0()  (x29 / x2)
                                          :arg1()  (x31 / 看-02
                                                :arg1()  (x32 / 日落)
                                                :arg0()  (x29 / x2)))
                                    :op2()  (x34 / 请求-01
                                          :arg1()  (x35 / x21)))
                              :quant()  (x24 / 1))
                        :aspect()  (x23 / 了)
                        :manner(x19)  (x18 / 大胆)
                        :arg0()  (x17 / x2)))))",و چون به ياد سياره کوچک و متروک خود دلش اندک پر شده بود، جراتی به خرج داد تا از پادشاه تقاضايی بکند: دلم می‌خواست که يک‌بار غروب خورشيد را تماشا کنم.,"(x / به‌خرج‌دادن
      :ARG0 (x2 / او)
      :ARG1 (x3 / جرات)
      :purpose (x4 / تقاضاکردن
            :ARG0 x2
            :ARG1 (x5 / پادشاه)
            :ARG2 (x13 / خواستن
                  :ARG0 x2
                  :ARG1 (x14 / تماشاکردن :quant 1
                        :ARG0 x2
                        :ARG2 (x15 / غروب‌کردن
                              :ARG0 (x16 / خورشید)))))
      :ARG1-of (c / cause-01
            :ARG0 (x6 / پرشدن
                  :ARG1 (x7 / دل
                        :poss x2)
                  :ARG2 (x8 / یادآوری‌کردن
                        :ARG0 x2
                        :ARG1 (x9 / سیاره
                              :mod (x10 / و
                                    :op1 (x11 / کوچک)
                                    :op2 (x12 / متروک))
                              :poss x2)))))"
538,"Order the sun to set ... ""","(o / order-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (s / sun)
      :ARG2 (s2 / set-11
            :ARG1 s))",命令 太阳 落山 吧 … ”,"(x7 / say
      :arg1()  (x1 / 命令-01
            :arg2()  (x3 / 落山
                  :arg0()  (x2 / 太阳))
            :arg2()  (x2 / 太阳)
            :mode()  (x4 / imperative)))",لطفا بفرماييد خورشيد غروب کند...,"(x / فرمودن :mode imperative :polite +
      :ARG0 (x2 / تو)
      :ARG1 (x3 / غروب‌کردن
            :ARG0 (x4 / خورشید)))"
